                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.73651,                0.40127,                0.89808,                0.98643,                0.99333,                 0.9948,                0.76896,                0.95324,                 0.4223,                0.94212,              0.0006734,              0.0006734,              0.0006734
                     69,                0.73132,                0.39336,                0.89377,                0.99205,                0.99333,                0.99487,                0.79656,                0.83529,                0.37623,                0.91529,              0.0006536,              0.0006536,              0.0006536
                     70,                0.71906,                0.39631,                0.89569,                0.98969,                0.99333,                0.99487,                0.79162,                0.85114,                0.37995,                0.91235,              0.0006338,              0.0006338,              0.0006338
                     71,                0.70035,                0.38264,                0.88713,                0.99774,                0.98667,                0.99487,                0.79439,                 0.8777,                 0.3959,                0.91336,               0.000614,               0.000614,               0.000614
                     72,                0.70394,                0.38911,                0.89179,                0.99299,                0.99333,                 0.9948,                0.79472,                0.84078,                0.39021,                0.91488,              0.0005942,              0.0005942,              0.0005942
                     73,                0.71513,                0.39248,                0.88488,                 0.9927,                0.99333,                0.99473,                0.77857,                0.89546,                0.38786,                0.91992,              0.0005744,              0.0005744,              0.0005744
                     74,                0.69502,                0.38483,                0.89059,                 0.9927,                0.99333,                 0.9946,                 0.7995,                0.82792,                 0.3797,                0.91623,              0.0005546,              0.0005546,              0.0005546
                     75,                0.70365,                 0.3872,                0.89183,                0.99964,                0.98667,                0.99474,                 0.7746,                0.86586,                0.39964,                0.92312,              0.0005348,              0.0005348,              0.0005348
                     76,                0.70192,                0.37743,                 0.8877,                0.99299,                0.99333,                0.99493,                0.80587,                0.82203,                0.36367,                0.91125,               0.000515,               0.000515,               0.000515
                     77,                0.68493,                0.36653,                0.89134,                0.99258,                0.99333,                0.99493,                0.82714,                0.81826,                0.36672,                0.91164,              0.0004952,              0.0004952,              0.0004952
                     78,                0.69345,                 0.3774,                0.88936,                0.99467,                0.98667,                 0.9948,                0.80448,                0.83613,                0.39849,                 0.9207,              0.0004754,              0.0004754,              0.0004754
                     79,                0.67749,                0.37093,                0.88096,                0.99911,                0.99333,                  0.995,                0.79734,                0.83893,                0.40053,                0.91689,              0.0004556,              0.0004556,              0.0004556
                     80,                0.68413,                 0.3711,                0.88531,                 0.9929,                0.99333,                0.99493,                0.79453,                0.84661,                0.39917,                0.90839,              0.0004358,              0.0004358,              0.0004358
                     81,                0.67646,                 0.3623,                0.88742,                0.99592,                0.98667,                0.99468,                 0.8014,                0.85422,                0.39676,                0.91011,               0.000416,               0.000416,               0.000416
